Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
01/07/2019,15987,9962,407,21223,3715,
15/09/2023,15499,10671,267,18421,4519,61
28/12/2021,1756,2352,0,3775,0,13
11/01/2023,10536,8347,223,14072,0,48
11/09/2021,820,612,0,1283,0,11
31/01/2020,12977,9620,242,19327,0,0
01/03/2023,17387,11627,362,21753,5544,108
17/07/2021,2735,3651,0,5236,0,20
07/03/2023,17674,11859,364,21560,5700,91
12/11/2020,13405,6989,273,13688,4983,74
29/08/2023,16332,11502,395,20819,4718,90
30/09/2019,14148,11666,414,22670,0,0
11/03/2023,4137,6701,0,9370,9,19
11/06/2020,9293,4765,127,9940,4936,1
08/05/2022,1815,3424,0,4869,0,18
22/06/2021,15204,9372,324,16855,4239,80
28/06/2022,11895,8363,262,14384,2913,57
25/10/2021,6517,3158,80,6569,1861,39
05/05/2021,16573,9338,341,17666,5786,77
11/04/2023,11880,9258,292,16829,0,49
04/10/2020,1835,3226,0,4156,0,27
30/12/2021,4349,2957,16,4988,0,40
27/10/2019,3020,5112,0,6761,0,171
28/11/2019,18200,11890,424,23911,4904,0
19/12/2020,3103,4635,0,5958,0,24
19/11/2022,3736,5573,0,7765,0,32
13/09/2021,2164,848,22,2204,0,35
17/09/2023,2709,5108,0,7813,0,23
30/12/2019,5899,4310,26,7269,0,0
12/10/2019,3631,6629,0,9204,0,0
04/11/2021,9013,4379,112,8518,4388,56
18/01/2023,11246,8489,278,14409,0,70
12/09/2020,2449,3707,0,5562,0,17
07/10/2023,4077,6830,0,8725,0,14
02/06/2020,9101,4373,110,9258,4931,1
02/02/2022,11578,5892,114,10954,5852,53
15/05/2021,3003,4645,0,6296,0,27
19/03/2022,3189,5160,0,6911,0,34
02/02/2023,15814,10464,324,18290,5995,82
08/01/2021,8402,6501,144,10400,0,34
23/10/2020,13313,6459,198,13817,5004,40
23/09/2020,12750,6277,202,12590,4965,63
23/07/2020,11244,5630,167,11301,5205,64
26/02/2023,2481,5640,0,6881,0,21
12/08/2020,11814,5681,180,11606,5116,52
12/09/2022,13036,8545,215,15050,4514,105
28/02/2023,15837,11516,351,20528,2345,84
28/03/2020,1092,1081,0,1971,0,0
24/07/2019,19380,12044,463,25312,5786,1
26/04/2021,2282,3173,0,4503,0,23
08/12/2021,11353,6969,213,12215,2565,76
05/11/2019,18877,12355,468,24998,5752,1
26/11/2020,13752,8194,237,14711,4502,67
16/06/2023,14424,10477,284,17591,4425,64
21/12/2019,3175,4981,0,6683,0,1
01/01/2023,1364,2406,0,3178,0,4
09/10/2022,2154,3826,0,5430,0,16
07/08/2023,15879,10904,330,19511,4755,71
18/07/2020,2035,3565,0,4853,0,23
20/07/2022,13322,8369,212,14852,4448,61
04/10/2019,14021,12060,313,23197,0,0
11/02/2021,16855,9005,308,17343,6264,111
23/07/2022,3016,5045,0,6759,0,30
20/04/2020,2987,2388,55,3662,0,0
03/05/2020,959,1086,0,1821,0,0
25/09/2021,821,709,0,1425,0,12
06/09/2019,17771,11162,364,22459,5421,0
24/03/2023,16465,11110,281,19704,5200,76
09/09/2020,12127,6074,157,11887,5078,54
28/07/2021,15168,8604,314,16204,5318,55
26/01/2021,1960,2800,0,4382,0,14
30/08/2023,16457,11148,385,20283,4678,91
13/05/2023,3988,6036,0,8328,0,24
09/07/2020,6888,5062,129,9600,0,8
26/07/2019,18698,12296,298,24258,5634,2
24/09/2020,13115,6539,217,12691,5071,49
12/07/2023,11725,9846,348,16297,0,49
01/10/2019,15028,12441,421,24365,0,1
04/06/2022,2632,4137,0,5868,0,16
25/12/2021,79,409,0,156,0,0
12/03/2021,16565,9548,258,17365,5472,79
14/12/2021,11100,7081,221,12751,841,57
23/02/2020,3124,6520,0,7922,2,1
27/02/2022,1958,3660,0,4666,0,33
10/06/2021,15388,9114,289,16617,5269,84
04/01/2023,8322,5964,140,10293,0,32
10/12/2022,3687,6170,0,7773,0,26
22/02/2021,16090,8742,318,16780,5741,84
17/09/2019,18169,11827,484,25470,5711,0
10/01/2021,1866,2063,0,4063,0,18
02/03/2020,19911,12308,485,26947,6518,0
01/05/2020,3258,1687,41,3734,72,8
12/10/2021,2775,1231,36,2806,0,29
07/06/2022,12863,8321,233,14594,4367,58
13/10/2022,15019,9623,240,17206,4386,94
19/07/2023,15669,10790,380,18916,5000,98
06/03/2022,1935,3126,0,4911,11,20
18/03/2022,13920,8671,191,15136,4728,109
05/10/2022,9813,7663,252,13674,0,45
10/04/2020,379,506,0,850,0,0
24/02/2020,20110,12211,516,26749,6622,0
28/10/2020,13441,7017,237,13669,5350,46
20/10/2023,16409,11289,276,19301,4789,82
27/11/2022,2534,4322,0,6253,0,21
24/11/2021,10571,5992,175,11603,4309,62
10/05/2022,13618,8881,270,15462,4768,97
16/11/2019,4063,6734,0,9130,0,0
10/07/2020,6701,5250,111,9377,0,3
01/01/2022,1028,1653,0,2245,0,9
17/06/2023,3861,5745,0,7858,0,64
26/09/2022,10515,8757,211,14394,0,68
01/12/2022,14039,9654,228,16573,3421,51
28/02/2020,20266,14527,416,27198,6358,0
20/11/2022,2384,4102,0,5694,0,34
03/08/2020,11297,5464,148,10927,5289,89
30/08/2019,18595,12416,363,24492,5150,1
07/05/2020,3741,2126,58,4792,147,8
26/01/2023,2333,4119,0,5938,0,13
18/08/2023,15409,10825,260,18974,4402,92
18/08/2021,2079,800,22,1915,19,17
17/05/2020,1074,1489,0,2243,0,0
16/03/2023,17731,11437,266,21334,5628,115
04/06/2023,2317,4011,0,5786,0,13
09/01/2023,9863,7632,226,13141,0,44
19/07/2022,13438,8299,221,14648,4620,58
26/08/2021,2074,753,14,1909,0,22
06/02/2022,1888,2750,0,4112,0,14
01/09/2020,12001,6149,187,12148,5041,69
19/12/2022,10284,7898,184,13242,0,48
11/02/2020,20335,12064,529,26842,7255,1
06/07/2022,9609,7958,235,12697,0,52
19/05/2023,15563,10628,287,18360,4607,87
05/05/2023,15523,10625,274,18453,4759,81
06/04/2023,15478,10385,258,18318,4393,78
26/01/2022,1716,2424,0,3957,0,22
22/09/2020,12729,6408,228,12778,5228,41
31/07/2019,19599,12447,478,25342,5736,0
09/11/2019,3905,6565,0,9388,0,0
02/03/2023,17478,11640,333,20972,5190,159
13/08/2020,11977,5930,172,11904,5184,58
15/06/2022,13225,8683,228,14884,4201,39
27/02/2023,16775,10728,312,19631,5672,71
12/04/2021,11021,8155,277,14571,0,49
31/10/2023,16627,10852,325,19294,5172,56
29/04/2020,2831,1555,59,3692,70,1
10/02/2020,17882,10840,434,23380,6021,0
06/08/2020,11774,5871,176,11698,5135,50
02/12/2020,13699,8330,252,14685,4238,46
16/09/2021,2429,943,23,2390,0,33
27/11/2021,2728,3949,0,5549,0,22
11/05/2020,4023,2154,78,4980,800,2
29/04/2022,13989,9034,198,15513,5070,50
04/12/2020,13528,9163,187,14770,3830,65
15/11/2020,2055,3196,0,4597,0,20
19/11/2021,10516,6492,128,10990,4013,48
11/02/2023,3940,6141,0,8266,0,12
24/07/2023,16262,11164,362,19238,4795,93
02/10/2023,2511,4697,0,6450,0,20
17/10/2021,883,1321,0,2098,0,10
02/01/2020,6913,6330,118,9780,0,0
29/04/2021,17194,9979,315,18817,5599,98
09/02/2023,15166,9802,264,17773,5120,123
06/01/2021,8049,5878,179,9748,0,36
15/11/2023,16271,10494,362,19149,4833,65
05/02/2021,15710,9112,237,15836,6347,102
08/01/2023,2299,4248,0,5101,0,33
14/03/2022,2098,3309,0,5210,0,26
17/02/2020,19785,12012,482,25998,6668,0
13/11/2021,2225,3257,0,4599,0,17
10/04/2021,3123,4847,0,6049,0,33
26/12/2021,1263,2186,0,3243,0,19
13/10/2019,2943,4965,0,7552,0,0
01/12/2021,11388,6868,203,12338,3985,83
03/01/2020,7397,7663,107,10164,0,0
23/01/2023,10852,8339,258,14102,0,64
09/02/2022,12354,6322,142,11858,5729,78
19/08/2023,4021,6110,0,8416,0,21
17/07/2020,7244,5395,114,9896,0,10
29/10/2023,2704,4952,0,6408,0,23
15/03/2023,17500,11811,383,21486,5634,119
20/10/2019,3046,4849,0,7014,0,6
02/01/2022,1510,1951,0,3136,0,18
23/10/2023,15954,10448,331,18810,5266,65
06/01/2020,8773,6938,236,12938,0,0
23/11/2021,11289,6341,167,11741,4457,51
30/03/2021,16440,9534,335,17212,5680,78
10/05/2020,977,1193,0,1999,0,0
03/12/2021,11420,7405,161,12708,3479,51
28/08/2019,19485,12217,492,26363,5358,0
23/08/2021,1905,745,17,1758,10,18
12/01/2022,5972,3783,70,6911,0,29
08/04/2023,3311,5053,0,6769,0,19
13/06/2022,1828,3004,0,4246,0,13
21/05/2023,2441,4214,0,6279,0,15
13/12/2022,13215,9540,242,16023,882,66
14/01/2020,12361,9864,398,19326,0,0
18/11/2023,4319,6477,0,8941,0,31
15/01/2023,2192,3590,0,5281,0,19
11/12/2021,2880,4493,0,5914,0,26
02/09/2021,2126,813,21,2127,0,17
29/10/2020,13382,6840,223,13813,5210,68
17/03/2020,16698,9402,395,22215,5750,0
28/01/2023,3455,4915,0,7531,0,21
24/06/2020,9303,5605,131,10776,4733,5
01/12/2020,13219,8006,270,13883,4467,54
25/07/2023,16479,11744,311,20257,4854,87
07/03/2021,2365,3802,0,4993,0,18
07/08/2019,19435,12306,414,26179,5776,0
15/01/2020,12711,9628,364,18994,0,0
27/05/2022,13001,8735,182,14701,2498,123
12/08/2023,4025,6142,0,8473,0,25
12/02/2023,2507,4680,0,6310,0,22
29/06/2023,13625,9479,298,16902,2557,65
08/11/2019,17838,11925,372,24095,5345,0
18/01/2021,10092,5056,276,12681,0,40
09/11/2023,15410,10537,330,18351,4814,78
28/12/2019,2874,4172,0,5745,0,1
13/05/2022,13176,8858,167,15019,4461,71
24/04/2020,3340,1821,41,4129,0,2
13/01/2021,10052,5004,219,12502,0,46
26/04/2020,756,798,0,1416,0,0
21/03/2022,13377,7956,208,14689,4899,75
27/08/2020,12319,6259,165,11917,4962,55
05/07/2022,9438,7927,213,12931,0,27
07/02/2021,2211,3647,0,4879,0,28
07/08/2021,3098,4506,0,6145,0,33
11/02/2022,12311,7163,114,12151,5266,64
28/05/2020,7933,3671,91,8221,3882,1
10/10/2021,602,611,0,1228,0,8
04/09/2023,15376,10187,332,18262,4847,60
08/03/2022,13366,7524,212,14318,5319,89
08/09/2023,14429,10162,240,17486,4327,63
05/08/2022,11957,8944,147,14679,1355,58
12/03/2023,2607,5029,0,7004,0,14
04/09/2022,2078,3802,0,5329,0,21
09/05/2020,1245,1415,0,2362,0,0
30/09/2021,2351,983,18,2344,0,29
13/03/2022,2028,3748,0,5191,0,21
24/09/2019,19105,12898,479,25750,5437,0
13/04/2020,747,664,0,1292,0,1
03/02/2020,15704,10860,361,22332,1158,0
16/12/2022,12338,9598,175,15433,409,60
12/01/2023,10638,7976,212,13777,0,69
29/09/2023,11992,11516,235,17648,0,69
18/04/2021,2065,3290,0,4619,0,30
08/05/2020,4052,2305,58,4977,117,2
04/05/2023,16502,11026,351,19604,5281,91
20/11/2019,18444,11645,476,24190,5700,1
18/06/2022,2948,4648,0,6328,0,28
23/10/2022,2191,3992,0,5284,0,9
07/11/2022,13382,8603,257,15154,3988,75
05/10/2021,2619,1085,26,2647,0,22
05/04/2022,14132,8463,285,15602,5037,50
05/10/2020,1939,2908,0,4165,0,23
08/11/2020,1897,2846,0,4312,0,16
29/05/2021,3113,4730,0,6304,0,28
24/12/2022,2789,3713,0,5451,0,8
03/11/2020,13524,7172,237,13918,5160,66
17/04/2020,3181,2355,56,3768,0,2
13/01/2020,12003,9268,361,18173,0,0
22/03/2023,17377,11267,365,20932,5406,87
03/09/2021,2269,897,20,2263,0,20
07/11/2023,16539,10869,316,19710,5143,66
15/04/2021,11963,8963,296,15793,0,61
30/11/2021,11367,6862,195,12653,4084,48
09/10/2020,9448,6380,191,11243,0,33
12/06/2021,3055,4445,0,6054,0,23
19/12/2019,14879,10504,358,20172,716,0
06/06/2022,12330,7863,222,13727,4404,49
12/07/2021,14136,8295,268,15328,2467,50
12/05/2020,4114,2283,66,5166,893,0
20/11/2020,13285,8413,188,14184,4534,42
18/02/2021,16578,8948,294,17583,5881,109
23/07/2019,19392,12180,461,25344,5935,0
03/06/2021,14430,8241,309,15403,5020,66
19/04/2023,12722,10390,357,18357,0,84
26/04/2023,17301,11169,358,20868,5566,94
05/01/2020,1451,2165,0,2735,0,0
01/09/2023,15896,11184,276,19307,4443,67
07/06/2023,16016,10469,398,18380,4793,76
23/05/2020,1433,1824,0,3077,0,0
30/07/2019,19887,12553,457,25617,5765,15
04/06/2021,16028,9564,247,16553,5433,57
01/08/2019,19950,12601,459,25864,5754,1
28/05/2022,2855,4303,0,6034,0,11
30/08/2021,1996,729,22,1984,0,16
09/11/2021,10671,5459,143,10233,4732,38
17/06/2020,9614,5065,136,10446,4838,4
09/05/2022,13333,8416,261,14670,4528,53
05/06/2022,1704,2837,0,4354,0,12
14/04/2022,9845,7470,173,12618,0,83
06/10/2023,12318,10541,260,17366,0,61
08/01/2020,10981,8488,331,16238,0,0
22/08/2020,2036,2846,0,4520,0,15
13/11/2023,3406,12088,50,5273,1124,22
01/06/2023,15850,10345,334,18390,4821,91
02/05/2020,1081,1148,0,2062,0,2
20/02/2023,16230,11061,334,19905,5439,72
11/06/2022,2802,4292,0,5975,0,22
19/10/2023,16900,11259,308,19761,5074,102
04/08/2019,3792,4595,0,6009,0,0
09/02/2020,2536,3509,0,5396,0,0
25/02/2020,21059,13128,529,28340,6634,0
03/03/2023,16583,11200,269,19885,5013,77
10/08/2021,16088,9447,300,17588,5489,71
21/09/2019,4555,5740,0,7260,0,0
23/12/2023,4248,4871,0,7441,0,444
15/08/2020,2083,3221,0,4659,0,16
22/11/2021,10505,5865,168,11053,4531,33
23/08/2022,12873,8272,222,14776,4148,52
10/07/2023,10806,8737,302,15269,0,60
18/03/2020,16175,8571,328,20475,5959,0
21/07/2022,12698,7583,188,14168,4564,61
21/01/2022,6639,4430,62,7920,0,43
04/03/2022,13944,8003,170,14636,5217,115
10/07/2021,2855,4626,0,6007,0,21
15/02/2020,3686,5603,0,8089,0,0
27/05/2023,3704,5533,0,7544,0,12
10/12/2021,10141,6917,141,11752,1883,41
03/06/2023,3689,5536,0,7573,4,21
05/09/2022,13358,8597,246,14853,4479,81
20/06/2023,14437,10093,376,17790,4252,92
04/12/2023,17119,10167,362,19559,4731,55
26/09/2019,19068,12320,455,25835,5310,0
18/01/2022,5810,3703,84,6896,0,37
27/10/2021,7748,3515,73,7175,2000,34
07/05/2022,2957,4761,0,6214,0,18
31/12/2022,2897,4459,0,5731,0,22
04/04/2023,16922,10937,340,19485,5398,79
27/12/2020,1759,2932,0,3913,0,15
04/08/2023,16092,11230,255,19419,4695,78
01/10/2021,2593,1101,19,2575,0,21
14/09/2023,16072,10802,317,19564,4777,106
29/09/2021,2086,878,20,2167,0,22
06/06/2021,2077,3303,0,4665,0,20
30/01/2023,10872,8496,226,14615,483,48
24/10/2019,19204,12628,450,26299,5688,0
24/01/2022,6584,4094,113,7577,0,45
19/09/2021,570,549,0,1014,0,13
05/06/2020,9189,4962,95,10034,4688,0
30/04/2020,2989,1640,60,3682,86,0
01/11/2020,2082,2560,0,4260,0,22
16/03/2022,14079,8440,267,15871,5085,137
29/11/2022,14534,9800,249,16362,3665,50
11/10/2023,17232,11611,354,21004,5297,84
23/11/2019,3819,8161,0,9533,0,115
07/12/2020,13012,7713,214,13917,3705,42
05/03/2022,2941,4142,0,6034,0,11
14/08/2019,18996,12111,477,26214,5567,0
13/08/2021,2339,1214,16,2474,9,11
13/04/2022,9915,7671,235,13210,0,58
10/03/2021,16721,9261,353,18172,5784,70
29/09/2022,11123,9207,202,15486,0,57
29/03/2022,13418,8535,255,15308,4970,57
22/06/2022,12441,8744,227,14611,3798,55
16/10/2020,12902,7135,192,13176,5127,37
03/09/2022,3400,5289,0,7369,0,24
23/06/2020,9044,5188,158,10514,4819,6
06/09/2020,1687,2709,0,3998,0,10
03/01/2021,1509,2415,0,3241,0,13
08/02/2021,15767,8629,276,15967,6561,59
29/07/2019,18743,11530,408,24273,5962,13
25/05/2022,13683,9034,234,15536,4531,54
02/08/2020,1733,2489,0,3663,0,22
01/07/2021,10114,7269,267,12813,0,56
12/08/2022,13072,8453,152,14451,4094,44
22/01/2023,2196,3969,0,5130,0,13
28/08/2020,12135,6702,163,12374,4381,59
19/05/2022,13710,8879,269,15691,4375,71
10/02/2022,12567,6327,128,11990,5629,61
19/11/2019,18567,11812,491,24402,5733,0
16/12/2021,11175,7493,197,13145,756,63
07/11/2021,1474,2342,0,3389,0,16
19/05/2021,16548,9492,323,17840,5307,65
18/07/2022,12338,7825,198,13925,2244,54
11/06/2023,2543,4608,0,6010,0,20
25/01/2021,8323,5489,144,9855,0,37
26/08/2019,18395,11678,403,24636,5465,0
31/03/2021,16718,9942,294,18162,5493,161
29/02/2020,3954,9259,0,10078,0,2
27/07/2022,13714,7700,227,15424,4499,60
18/03/2023,4108,6610,0,9131,0,14
24/08/2023,16419,11475,344,20303,4587,105
21/04/2023,11993,9988,254,16913,0,72
03/10/2020,2448,3993,0,5499,0,23
01/02/2020,3026,4498,0,6305,0,33
05/01/2022,5643,3514,49,6297,0,40
19/11/2020,13991,7885,244,14789,4725,39
15/08/2023,16373,11618,369,21095,4738,89
14/10/2019,18081,11873,410,24562,5797,0
05/08/2023,4155,6994,0,8851,0,22
21/07/2019,4045,4739,0,6000,0,0
12/09/2019,18465,11622,438,24108,5712,0
01/06/2021,16356,9283,324,17202,5675,64
27/10/2023,16154,10881,235,18718,4686,85
14/06/2020,1386,2106,0,3074,0,3
25/11/2020,13693,8078,283,14925,4722,74
25/08/2021,2035,720,23,1846,0,12
28/04/2023,16250,10883,287,19003,5330,110
02/07/2023,2388,4198,0,6399,0,58
03/12/2023,3259,4708,0,7330,0,25
13/02/2022,2005,2887,0,4341,0,31
06/11/2021,2250,3419,0,4524,0,35
10/09/2023,2654,4737,0,6379,0,68
14/05/2021,16262,9740,226,17216,5391,82
11/05/2023,16353,10707,334,19483,4807,102
02/12/2023,4724,6050,0,9640,0,28
06/09/2021,2147,864,27,2153,0,25
24/12/2020,6332,4990,35,7565,0,41
09/07/2023,2186,4229,0,5843,0,24
12/12/2021,2015,3304,0,4498,0,26
01/02/2023,16147,10628,334,18877,5774,59
27/11/2023,17585,10129,388,20054,6233,78
31/08/2022,14360,8657,233,16306,4217,62
28/06/2020,1614,2777,0,3759,0,1
05/05/2022,14014,8862,254,16040,4773,72
01/07/2020,9067,5832,140,10841,3578,3
04/04/2022,13714,7935,266,14466,4936,48
08/09/2019,3782,4743,0,5886,0,0
11/03/2020,20182,12363,491,27319,6426,45
10/10/2022,14114,9377,254,16357,3943,134
04/01/2020,2177,5018,0,4315,0,0
10/08/2020,11596,5647,170,11223,5176,58
03/11/2019,2642,3748,0,5713,0,0
23/03/2022,14095,8541,232,15849,4697,54
06/08/2021,15595,9565,244,16451,5047,64
05/04/2021,2153,3185,0,4369,0,17
24/04/2021,3190,4487,0,6112,0,16
29/11/2019,17761,12660,317,24355,4542,0
14/03/2021,1760,1703,0,4112,0,12
13/06/2023,14893,10108,390,17550,4643,66
22/03/2020,1893,2252,0,3890,0,0
02/09/2020,12087,6195,174,12014,5165,55
21/03/2020,2670,3272,0,5531,0,0
17/11/2019,2914,4519,0,6777,0,0
12/11/2023,2788,4381,0,6498,0,24
13/05/2021,16541,9724,311,18003,5426,108
06/10/2019,2992,5583,0,7530,0,0
21/11/2023,15993,10937,357,18900,4914,92
11/04/2022,9488,7256,253,12413,0,40
14/10/2022,14044,9443,185,16075,4122,109
07/01/2022,5292,4167,51,6005,0,38
21/01/2021,10496,5460,236,13303,0,45
07/03/2022,13340,7215,191,13970,5386,47
03/12/2019,17741,11575,486,23387,5010,1
06/12/2023,17482,10888,373,20063,3857,65
18/12/2021,2820,4036,0,5516,0,17
07/04/2020,2951,1519,47,3497,33,1
26/10/2021,7511,3291,77,6912,2041,61
18/07/2023,15884,10685,367,18317,4883,95
26/08/2022,13561,9302,177,15288,4191,53
30/06/2020,8961,5466,151,11014,3555,7
19/01/2022,6419,4160,81,7608,0,39
20/11/2021,2440,3756,0,4993,0,26
14/12/2022,12828,9451,277,15889,679,70
23/08/2019,18614,12644,384,25079,5224,0
11/07/2023,11689,9680,309,16250,0,49
27/08/2022,3181,5651,0,7180,0,8
06/12/2022,14281,9948,269,16941,2811,42
29/12/2021,4248,2987,12,4744,0,31
27/04/2020,947,892,0,1569,0,0
25/11/2021,10397,6065,134,11144,4115,38
03/11/2021,10321,5114,122,9626,4910,51
03/08/2019,5447,7090,0,7922,0,0
26/03/2020,4003,2449,133,5846,108,0
11/03/2021,16764,9151,280,17836,5839,99
21/09/2022,14071,9746,221,15947,4199,50
26/05/2021,16451,9619,347,17927,5171,65
28/10/2019,17730,11484,436,24233,5704,0
23/09/2021,2369,989,24,2407,0,23
10/03/2023,16384,11381,238,20144,4708,72
24/06/2022,12099,7798,177,13846,2940,57
14/02/2022,12202,6435,143,11899,5591,59
12/05/2023,15799,11026,256,18641,4859,83
28/10/2021,7872,3510,78,7119,2116,63
27/08/2023,2718,4322,0,6499,0,51
26/12/2020,1910,3759,0,4918,0,21
18/09/2020,12513,6712,161,12778,4808,46
02/10/2022,2252,4891,0,6560,0,15
19/02/2021,15799,9347,215,16832,5684,43
29/03/2020,706,889,0,1468,0,2
20/12/2023,11901,7946,272,14883,0,1366
04/08/2020,11694,5756,167,11698,5384,42
27/09/2020,1810,2725,0,4055,0,27
20/07/2020,10779,5642,160,10635,4314,65
17/12/2022,3708,5759,0,7436,0,33
03/10/2019,15089,12660,426,24221,0,1
18/04/2023,12530,10259,378,18402,0,71
11/07/2021,1966,3213,0,4514,0,11
15/07/2019,12743,9704,370,19481,0,2
10/03/2020,20171,12442,493,27226,6571,35
27/09/2021,2431,1046,20,2326,0,27
20/09/2019,20009,14789,403,27732,5099,0
26/10/2020,11342,5503,239,11623,4938,37
06/12/2020,2094,3260,0,4717,0,15
14/08/2020,11722,6337,157,11965,4892,49
23/11/2022,14492,9646,266,16659,3916,176
13/08/2023,2448,4337,0,5949,0,23
29/10/2021,8319,4023,71,8072,2024,42
03/03/2021,16892,9733,320,18152,5769,85
18/01/2020,3186,5064,0,7001,0,0
20/10/2020,13325,6968,273,13565,5488,47
04/03/2023,4103,6483,0,9145,13,22
05/03/2020,18722,11596,445,25349,5945,76
10/09/2019,18814,11527,498,24134,5922,0
28/08/2023,15475,10479,371,18701,4730,70
02/11/2019,3898,6625,0,9358,0,3
19/10/2019,3857,6066,0,8963,0,0
30/09/2020,8962,5841,190,10557,0,30
11/04/2021,2086,3431,0,4734,0,22
07/12/2021,11101,7148,214,12939,3347,42
22/09/2019,4126,5234,0,7066,0,0
31/10/2020,2453,2544,0,4521,0,14
09/03/2022,13929,8144,209,15109,5254,63
27/06/2023,13366,9859,357,17289,2837,71
03/01/2022,1633,2026,0,3206,0,18
30/04/2022,2947,4949,0,6182,0,17
24/09/2023,2693,5301,0,7276,0,31
16/12/2023,4569,6135,0,8906,0,721
31/10/2022,12206,7602,223,13638,3631,39
17/12/2019,15744,10793,420,21636,1162,0
30/01/2020,14100,10587,362,21046,0,0
11/08/2022,13507,8622,196,15511,4108,71
19/09/2020,2534,4020,0,5720,0,19
12/11/2022,3516,5607,0,7747,0,22
30/10/2023,15786,9942,302,17728,5207,59
16/10/2021,1353,1671,0,2504,0,12
27/03/2020,3998,2298,106,5544,97,1
02/07/2020,8635,5435,137,10678,3290,3
23/05/2022,12914,8289,216,14440,4420,42
09/04/2022,3084,4630,0,6502,0,30
02/09/2019,18055,10993,417,23455,5830,0
14/07/2023,11554,9883,225,15609,0,67
21/08/2019,19447,12102,472,26048,5656,0
09/03/2021,16823,9430,340,17491,5870,93
01/11/2022,13821,8648,209,15268,4045,59
08/10/2019,13860,10799,417,22073,0,0
09/07/2019,13835,10550,455,19862,0,1
21/03/2023,17106,11542,373,20971,5703,72
07/10/2022,9081,7982,176,12660,0,52
13/02/2020,20387,11609,499,26610,6766,1
04/07/2021,1856,2895,0,4146,0,35
23/09/2019,18224,11833,469,24440,5626,0
21/02/2022,12663,6651,143,12389,5514,50
28/12/2020,2091,3086,0,4440,0,17
07/10/2021,2691,1217,20,2926,0,27
