Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
02/05/2022,13602,8231,262,15038,4737,65
08/11/2023,16467,11024,362,19855,4996,76
11/10/2022,14689,9787,245,17261,4652,78
06/05/2023,3845,6139,0,8120,0,20
15/10/2022,3635,5750,0,8070,0,11
19/06/2023,13656,9160,348,16289,4443,71
28/03/2023,16337,10720,385,20215,5432,69
10/02/2021,16511,9238,315,17184,6441,74
01/12/2019,2713,4356,0,6532,0,3
16/07/2019,14025,10434,421,20592,0,0
04/10/2021,730,660,0,1393,0,12
06/05/2021,16818,9674,315,17926,5465,90
20/03/2022,2006,3196,0,4803,0,7
24/11/2019,2913,4271,0,6681,0,4
19/04/2021,15767,8983,333,16782,3577,51
25/10/2020,1865,2403,0,3787,0,9
19/12/2023,12046,8393,290,15076,0,1422
06/07/2020,6629,5009,137,9443,0,3
25/02/2022,12510,6966,134,12570,5326,69
26/04/2022,14074,8797,238,15608,2913,63
14/10/2021,2589,1082,24,2718,0,23
30/05/2023,15801,10513,376,18686,4865,63
06/09/2023,16283,10969,407,20143,4696,81
14/11/2020,2876,4782,0,6061,0,18
10/02/2023,16131,11455,255,18920,5366,118
22/07/2022,12742,8300,162,14332,4422,65
23/11/2023,15893,10650,317,18928,4526,77
18/11/2020,13637,8032,266,14649,4795,63
02/01/2023,2239,2842,0,4541,0,16
15/10/2019,19198,12750,456,25968,6037,1
10/09/2022,3258,5942,0,7065,0,23
14/09/2019,5306,7540,0,8618,4,0
29/05/2020,7908,3986,89,8407,3767,1
17/11/2021,11074,6058,153,11305,4574,42
05/12/2023,17458,10810,375,20439,4385,76
10/11/2020,13657,7540,230,14231,4841,59
22/05/2023,15536,10275,386,18284,4902,61
30/04/2021,16507,9949,246,17759,5540,69
15/09/2021,2344,913,21,2280,0,21
23/06/2021,14881,9455,314,16610,4174,70
30/10/2020,13472,6242,186,13757,4943,53
16/01/2021,2705,2715,0,5439,0,29
25/06/2020,9583,5703,121,10705,4585,4
06/03/2023,16371,11064,366,19576,5550,101
10/11/2022,15156,9612,246,16799,4229,91
27/01/2023,10366,7877,154,13248,0,54
28/11/2023,16737,9879,346,19416,6162,69
26/02/2022,2856,5034,0,5933,0,17
27/07/2019,5383,6522,0,8231,0,1
23/04/2021,16420,9626,267,16969,5811,75
13/07/2022,9529,7873,226,12933,0,48
27/04/2022,14299,8797,252,15723,5160,92
26/10/2019,3731,6849,0,8449,0,102
17/05/2022,13979,9047,284,15836,4485,56
16/06/2022,12723,8434,238,14196,4010,42
29/05/2022,2049,3591,0,4969,0,16
21/06/2021,14587,8914,304,16243,4295,53
06/11/2023,15943,10252,336,18670,5186,61
23/03/2023,15751,10808,345,19207,5413,100
15/09/2022,13245,8425,173,15225,4270,56
27/10/2020,13366,6594,249,13389,5398,40
17/03/2023,16931,11798,294,19999,5299,105
11/01/2022,5879,3545,75,6608,0,27
24/02/2022,13206,7039,138,13205,5581,140
02/08/2022,14063,8847,241,15540,4633,72
17/08/2020,11744,5628,183,11068,5306,39
19/06/2022,1973,3308,0,5036,0,19
09/09/2019,17892,10847,458,22891,5813,0
07/03/2020,3971,6162,0,9552,0,0
03/01/2023,8061,5998,100,10227,0,45
23/04/2023,2498,6572,0,6513,0,14
27/02/2021,3369,5149,0,6554,0,24
28/02/2021,2148,3430,0,4932,0,24
20/10/2021,5259,2318,58,5027,0,41
20/12/2019,13149,10032,259,18341,44,0
16/09/2020,12778,6549,195,12682,5075,49
20/09/2023,16498,11686,368,20735,4701,69
17/10/2023,17365,11255,378,20596,5139,105
06/12/2021,10902,6586,194,11920,3265,45
21/02/2021,2100,3216,0,4417,0,18
03/05/2022,14452,8861,271,16091,4884,64
15/10/2020,13560,7021,227,13692,5380,66
01/08/2021,1862,2799,0,4160,0,18
05/02/2022,2730,3889,0,5175,0,26
22/08/2021,489,409,0,862,0,5
19/07/2020,1507,2477,0,3673,0,10
01/10/2020,9632,6301,197,11869,0,45
25/03/2023,3687,5699,0,7796,0,11
26/06/2021,3170,4718,0,6242,0,17
29/01/2023,2226,3553,0,5147,0,21
29/07/2021,15846,9420,270,16980,5534,91
21/08/2021,722,503,0,1079,0,6
11/09/2023,15265,10162,346,18713,4823,74
18/04/2022,1839,3064,0,4454,0,22
28/11/2022,12610,9002,225,15471,2669,53
05/09/2021,458,456,0,943,0,7
30/06/2023,12504,9633,273,16163,2096,52
25/05/2020,6901,3495,101,7501,3708,1
16/04/2023,2234,3731,0,5454,0,18
22/03/2022,14014,8326,254,15939,4914,101
07/01/2023,3298,7452,0,6637,0,45
06/10/2020,8397,5496,187,10183,0,31
25/04/2021,1983,3378,0,4258,0,14
25/03/2020,4365,2790,164,6563,144,0
15/02/2022,12650,6590,157,12662,5542,63
20/05/2020,6085,2890,85,6510,2470,1
20/04/2021,16659,9901,294,18151,6238,100
19/08/2021,1959,768,21,1920,14,13
26/12/2022,1996,3517,0,5276,0,10
17/08/2021,2066,949,20,2139,29,14
27/11/2020,13588,9101,183,15110,4155,38
20/08/2023,2738,4605,0,6663,0,54
20/08/2021,2015,741,9,1907,11,13
07/08/2022,2049,3796,0,5285,0,34
14/04/2021,11809,8649,308,15495,0,46
02/05/2021,2081,3242,0,4977,0,34
25/08/2019,3955,4411,0,6228,0,2
27/09/2022,10341,8520,227,14447,0,60
08/06/2022,13434,8663,254,14764,4138,38
24/01/2020,13403,10476,343,19749,0,0
31/05/2023,15635,10279,405,18394,4684,69
12/12/2019,17004,11653,445,22538,3083,0
08/06/2023,14391,9346,296,16643,4691,73
25/04/2023,2420,4047,0,5898,0,14
05/11/2023,2559,4430,0,6221,0,20
04/01/2021,7269,5337,150,9105,0,38
12/02/2022,2922,5166,0,6031,0,23
25/09/2019,18838,12958,453,25717,5360,0
04/01/2022,5744,3581,54,6655,0,36
03/08/2022,13162,8636,235,14960,4443,67
17/01/2022,6047,3723,82,7129,0,32
07/10/2019,2870,5069,0,6956,0,2
08/10/2020,8654,5669,212,10697,0,35
19/10/2020,12986,6459,209,12772,5319,40
31/08/2020,11736,5810,177,11520,5156,46
24/08/2019,5439,6396,0,8283,0,
26/03/2023,2624,4212,0,6383,0,18
27/03/2023,15510,10639,346,18806,5409,71
14/05/2023,2212,4302,0,6208,0,18
28/05/2023,2215,4789,0,5996,0,16
09/06/2022,13407,8337,226,14799,4397,48
23/05/2023,15907,10702,395,19183,4756,62
10/11/2023,16397,11100,1029,19102,4550,81
24/04/2022,2094,5283,0,5204,0,18
16/04/2020,3024,1577,57,3682,0,3
23/04/2022,2932,4614,0,6026,0,21
11/11/2019,17964,11548,468,24134,5602,3
06/10/2021,2821,1217,22,2837,0,36
18/12/2023,12686,8395,309,15747,0,1476
20/05/2021,16343,9710,310,17375,4823,94
20/12/2020,2041,3529,0,4583,0,17
14/06/2022,12488,8421,233,14413,3038,43
01/03/2022,12288,7427,192,13710,2193,43
26/11/2023,3524,4847,0,8286,0,24
09/12/2022,13394,10098,188,15472,1654,64
19/04/2020,759,1113,0,1356,0,0
27/04/2021,16970,9766,330,18261,5474,125
20/11/2023,14682,9474,347,16823,4627,43
21/09/2021,2229,959,22,2294,0,26
13/07/2019,4606,5185,0,6327,0,2
08/07/2021,10843,8201,270,14035,0,43
09/09/2023,3776,6678,0,8247,0,20
15/11/2019,18462,12418,370,24410,5472,0
01/08/2023,16569,11912,375,21015,4888,82
14/02/2023,16964,11844,363,20612,5803,80
04/10/2023,11306,9133,332,16024,0,64
30/12/2020,5375,3985,13,6117,0,32
22/04/2022,9307,7546,160,12607,0,50
25/07/2019,19619,12257,432,25284,5845,0
11/10/2021,2778,1205,29,2729,0,20
18/02/2020,20617,12733,485,27552,6853,0
04/11/2020,13690,6768,249,13685,5116,40
23/04/2020,3230,1786,39,3819,0,1
24/10/2020,2428,3154,0,4663,0,12
01/11/2021,9291,4575,106,8821,4650,64
19/06/2021,3205,4629,0,6330,0,18
17/10/2019,19049,12391,417,25990,5640,0
14/01/2023,3478,5057,0,7041,0,15
15/07/2023,3798,5925,0,8036,0,17
01/07/2022,10111,7288,160,12247,1399,45
22/12/2023,10988,8151,104,13556,0,1144
06/12/2019,17380,12626,361,23119,4200,0
01/12/2023,17353,10733,264,19674,5155,81
14/06/2023,15556,10578,355,18604,4687,90
03/06/2020,9018,4463,128,9384,4892,0
24/07/2022,2133,3897,0,5351,0,13
10/05/2023,16416,11133,397,19592,4878,78
23/08/2023,16494,11475,418,20848,4581,87
17/08/2019,5506,6583,0,7922,0,0
31/07/2021,3059,4355,0,6004,0,28
21/11/2022,12993,8862,264,15055,3993,72
11/07/2022,8989,7192,217,12152,0,46
25/01/2020,3481,5494,0,6976,0,0
21/12/2022,10564,7884,197,13303,0,68
06/02/2021,2767,4138,0,5742,0,32
09/08/2022,14080,9091,207,16697,4651,65
08/05/2023,15421,10329,364,18340,5228,49
15/12/2022,12969,9599,215,16001,695,59
14/09/2022,14148,9183,252,16085,4377,78
04/12/2021,2878,4304,0,5796,0,18
21/06/2023,14311,10246,359,17588,4011,87
09/10/2019,14754,12048,434,23526,0,0
31/03/2020,3064,1708,64,3871,49,0
19/10/2021,4930,2240,53,4649,0,21
07/05/2021,16324,9909,264,17623,5391,66
02/08/2019,18953,12744,340,25010,5738,0
01/08/2022,12972,8081,230,14630,3938,53
01/01/2020,1325,2312,0,2586,0,1
24/05/2022,14029,9022,242,15715,3905,75
19/07/2019,13846,11150,325,20012,0,0
25/01/2022,6884,4342,105,7925,0,49
20/08/2020,10797,5938,158,11319,1939,55
24/03/2021,16871,9638,336,18181,5814,84
01/09/2019,3761,4682,0,5936,0,0
08/07/2020,7017,5230,139,9859,0,3
31/05/2022,12985,7786,261,14379,4274,57
20/03/2020,14877,7872,262,17962,5398,0
24/09/2022,3197,5557,0,6828,0,10
31/08/2023,16478,11316,294,20284,4801,86
02/10/2020,9099,6465,153,11136,0,49
04/03/2021,16920,9332,304,17909,5813,76
13/09/2020,1898,2522,0,3907,0,14
05/12/2019,17696,11515,409,23119,4603,0
01/06/2022,13412,8458,243,14828,4518,78
12/06/2020,9550,5044,100,10276,4876,2
17/01/2021,1974,1898,0,4229,0,15
08/04/2020,2968,1516,65,3449,51,0
03/05/2023,16117,10940,417,19717,5204,82
03/07/2023,10990,9004,323,15119,0,61
05/08/2019,18527,11891,453,24856,5978,0
17/02/2022,13057,6728,149,12883,5477,80
11/12/2023,16067,9607,361,18616,1646,55
22/11/2020,1902,3027,0,4360,0,23
31/12/2021,4379,3044,17,5077,0,12
23/12/2020,8512,6393,152,10362,0,87
21/02/2023,16095,10856,326,20261,4967,69
20/04/2023,12443,10295,328,17890,0,80
13/01/2022,6164,3667,79,6893,0,30
22/02/2022,13219,6963,171,13410,5472,69
15/09/2020,12547,6439,200,12671,5124,95
21/04/2022,9704,7564,221,13175,0,49
30/03/2022,13667,8693,261,15187,5042,80
07/07/2021,10892,7901,285,13678,0,52
29/08/2021,463,375,0,821,0,9
05/07/2023,11548,9408,358,15663,0,53
23/07/2021,14234,8392,207,14986,5025,56
08/01/2022,2193,4014,0,4242,0,21
08/10/2021,2896,1233,21,2944,0,17
04/07/2020,1981,3575,0,4978,0,4
15/06/2020,9088,4707,133,9814,4998,1
28/04/2020,3568,1925,63,4240,76,1
03/07/2022,1850,3215,0,4811,0,22
07/12/2019,3798,7491,0,8072,0,4
16/12/2019,15611,10477,440,21149,1104,0
21/06/2022,12111,8289,251,14338,4000,52
14/02/2020,20092,12935,341,26149,5906,1
20/02/2020,20567,12657,488,27379,6106,1
21/05/2021,16352,10086,247,17849,5224,68
30/07/2022,2960,5559,0,6751,0,15
12/05/2021,16877,9874,338,17889,5379,46
16/05/2021,2161,3355,0,4701,0,26
09/10/2023,16351,10568,330,19222,4494,71
28/04/2022,14221,8741,252,15995,5169,71
07/01/2021,8318,6099,149,10430,0,38
23/11/2020,12169,6935,234,13066,4429,45
20/01/2021,10775,5557,278,13546,0,46
30/11/2020,12851,7583,247,13798,4687,41
23/06/2023,13580,9657,290,15701,3794,70
22/02/2023,17698,11639,381,21325,5154,100
14/07/2021,14900,8802,273,15542,5224,59
08/12/2019,2747,4827,0,6353,0,0
25/12/2022,268,1026,0,555,0,0
30/01/2022,1852,2574,0,4106,0,44
08/03/2023,17243,11910,389,21503,5175,94
04/09/2020,12462,6712,135,12340,4974,72
14/08/2021,720,671,0,1207,0,13
29/05/2023,2369,3698,0,5494,0,17
03/04/2023,16101,10146,372,18204,4956,68
10/10/2020,2518,4152,0,5776,0,19
29/04/2023,3499,5626,0,7487,0,31
24/10/2021,1236,1741,0,2807,0,16
07/04/2021,11733,8605,292,15283,0,50
21/03/2021,1903,2741,0,4100,3,30
15/03/2022,14148,8159,250,15778,4983,57
20/07/2023,15696,10831,340,18860,4967,100
15/08/2019,19383,12433,423,26122,5532,0
27/10/2022,14997,9650,255,16857,4129,63
19/08/2019,18332,11412,461,24242,5646,0
18/02/2023,4453,12927,0,11591,0,17
27/07/2021,15886,9178,315,16923,5688,77
15/10/2021,3542,1892,28,3579,0,29
13/02/2023,16429,10544,342,18785,5460,116
21/11/2020,3049,4802,0,6306,0,21
16/11/2020,12808,6968,228,12879,4762,37
23/03/2020,10418,4666,256,12058,4119,1
09/01/2020,11208,8572,318,16730,0,0
25/04/2022,1675,3039,0,4089,0,11
15/05/2022,1733,3050,0,4560,0,26
30/07/2023,2694,5370,0,6621,0,18
20/05/2022,13225,8420,168,15030,3992,60
14/04/2020,2985,1637,47,3631,0,1
14/11/2021,1462,2109,0,3289,0,16
22/12/2019,2785,3974,0,5481,0,0
12/10/2023,16645,10955,318,19732,5263,88
09/09/2021,2295,878,19,2177,0,26
13/12/2023,16330,10425,347,19590,1487,125
09/03/2023,17194,11597,320,21456,5199,123
27/12/2022,2355,3301,0,4917,0,10
25/08/2020,11942,6103,186,11884,5176,46
17/05/2023,16175,11031,404,19560,4910,93
22/01/2022,2402,3283,0,4831,0,37
16/09/2023,4245,7021,0,9361,0,23
05/09/2019,18911,11382,451,24641,5685,0
18/11/2022,14192,9730,179,16351,3768,60
20/08/2022,3257,5240,0,7161,0,19
05/08/2020,11328,5680,168,11624,5320,55
28/08/2021,735,566,0,1081,0,7
29/11/2021,10741,6438,181,11422,4195,51
29/03/2021,15448,8964,283,16476,5744,70
23/05/2021,2135,3430,0,4664,0,54
27/03/2021,3224,5581,0,6530,0,19
02/10/2019,15001,12534,458,24050,0,0
09/12/2019,16216,10994,428,22018,3790,0
19/02/2023,2750,7532,0,8097,0,17
05/09/2023,15995,10805,387,20085,4808,61
23/01/2020,12963,9891,448,19874,0,0
23/12/2021,6891,4653,83,8183,0,28
03/08/2021,15630,8950,323,16981,5399,49
25/05/2021,16514,9619,328,17408,5388,88
07/02/2023,16880,11128,346,20140,6132,127
12/08/2019,18699,11379,470,24549,5823,0
14/09/2021,2367,936,23,2300,0,22
30/05/2021,2123,3480,0,4871,0,33
29/12/2020,4909,3966,15,5777,0,37
08/10/2022,3193,5198,0,6824,0,23
24/10/2023,16831,10819,404,19556,5185,61
13/01/2023,10558,8270,188,13371,0,43
30/03/2020,3175,1776,83,4246,66,1
12/01/2020,2284,3285,0,4916,0,1
22/10/2022,2859,4365,0,6086,0,16
20/01/2022,6598,4140,93,7647,0,34
08/11/2022,15211,9628,263,16764,4334,72
21/11/2019,18011,11230,438,23009,5362,1
08/08/2021,1956,3094,0,4346,0,26
04/07/2022,8969,7382,204,12245,0,52
10/07/2022,1859,3402,0,4810,0,14
13/09/2019,18071,12974,336,23475,5376,0
03/06/2022,12913,8520,193,14151,4191,51
27/12/2021,1561,2038,0,3406,3,20
27/02/2020,21070,13081,488,28678,6435,0
08/02/2022,12201,6345,135,11943,5865,84
10/08/2019,4836,5422,0,7219,0,0
24/05/2020,1196,1694,0,2551,0,0
04/12/2022,2481,4081,0,5865,0,19
22/12/2022,9127,6749,150,11528,0,73
01/07/2023,3681,5526,0,8276,0,17
22/12/2021,8074,5410,122,9419,0,55
22/01/2020,13661,10327,456,20720,0,0
17/10/2022,14247,9179,244,15913,4754,78
01/06/2020,1322,1648,0,2850,0,1
14/11/2023,16134,10950,363,19270,4862,84
23/10/2021,1832,2356,0,3703,0,15
05/03/2023,2729,4356,0,6234,0,23
06/07/2023,11291,9204,302,15537,0,60
25/12/2023,0,0,0,0,0,
02/04/2023,2523,4367,0,6804,0,15
23/09/2023,4117,7197,0,9681,0,29
04/04/2020,943,877,0,1592,0,0
02/02/2020,2861,3732,0,5437,0,0
09/06/2023,15029,10092,263,17269,4393,74
25/04/2020,863,944,0,1540,0,0
08/04/2022,12639,7956,190,13976,4039,48
18/06/2020,9658,5267,151,10691,4895,7
11/06/2021,14834,9153,210,16181,4912,58
20/05/2023,3846,5946,0,7858,0,19
16/11/2022,14257,9527,281,16565,4184,98
12/11/2021,9123,5189,113,9312,3660,57
04/11/2023,4057,5780,0,8807,0,26
15/04/2023,3867,5739,0,7920,0,24
26/11/2021,10451,6524,113,11230,3746,63
01/05/2023,15828,10402,327,18694,5447,73
28/07/2019,4187,4398,0,5751,0,3
23/08/2020,1657,2419,0,3710,0,21
13/04/2021,11968,8770,313,15654,0,70
08/05/2021,3305,4974,0,6662,0,35
10/06/2023,3729,5793,0,7737,0,16
29/10/2019,18619,12012,461,24841,5947,0
31/12/2020,5296,4955,12,5831,0,34
07/09/2019,4965,6261,0,7801,0,0
30/09/2022,10526,9139,138,14264,0,72
26/09/2023,12828,11047,324,18995,0,61
17/02/2023,16365,13887,252,20392,5262,94
26/03/2022,3022,4629,0,6642,0,19
03/02/2022,11957,6060,114,11081,5967,50
20/01/2020,11782,9473,346,18310,0,0
16/12/2020,12534,8169,227,13561,979,53
21/08/2023,15616,10487,364,19386,4704,162
20/06/2020,1998,3158,0,4367,0,7
18/08/2020,11925,5890,174,11641,5133,83
21/10/2020,13539,6988,285,13699,5329,49
11/12/2019,17135,11696,415,22494,2750,0
21/01/2023,3561,6983,0,7272,0,25
16/01/2022,1602,2180,0,3427,0,15
13/09/2023,16427,11052,358,19750,4760,75
05/10/2023,12733,10257,312,17789,0,54
26/01/2020,2681,4215,0,5776,0,2
31/07/2023,15938,10820,386,19660,4862,84
07/07/2019,4065,4332,0,5426,0,0
30/10/2021,2254,3294,0,4623,0,11
22/10/2023,2698,4627,0,6518,0,20
29/08/2019,19565,12286,427,25376,5492,0
22/04/2023,3796,6505,0,8581,0,14
18/03/2021,16701,9561,315,18249,5861,85
21/12/2023,12701,8381,244,15083,0,1303
22/03/2021,15025,8181,290,15489,5451,62
30/12/2022,6087,4489,17,6931,0,34
03/09/2023,2449,4609,0,6658,0,26
11/09/2019,18887,11664,446,24581,5779,2
02/07/2019,16895,10656,409,21715,3993,0
30/05/2020,1736,2559,0,3662,0,2
27/12/2019,5852,4999,21,7343,0,0
14/12/2023,16510,10223,313,19111,1218,79
30/10/2019,18782,11736,451,25038,5822,0
09/07/2022,2878,4941,0,5986,0,16
11/11/2022,14462,9657,209,16327,3927,54
29/11/2020,2133,3417,0,4919,0,21
08/09/2021,2191,928,22,2114,0,22
10/06/2020,9267,4752,127,9748,5022,1
03/10/2023,12225,10204,307,17980,0,63
14/03/2020,3163,4956,0,7621,0,0
09/04/2023,1975,3692,0,5264,0,11
22/05/2020,6527,3109,81,6952,2402,0
10/05/2021,15851,9073,303,17096,5369,90
30/11/2019,3801,6095,0,8498,0,0
22/02/2020,4676,15154,0,14048,4,0
20/09/2020,1727,2345,0,3534,0,18
16/08/2020,1760,2609,0,3573,0,22
12/05/2022,12449,7602,250,13954,4386,56
24/05/2023,15945,10982,373,19285,4931,61
24/02/2021,16729,9315,333,17840,6105,95
18/08/2022,12858,8812,223,15507,1731,47
04/07/2023,10995,8859,343,15424,0,61
03/04/2022,2052,3363,0,5203,0,56
24/11/2023,15001,10483,258,18527,4237,80
29/03/2023,15149,10538,346,18834,5110,86
24/08/2022,14179,9035,269,16214,4414,67
16/03/2021,16977,9505,328,18352,5813,75
14/07/2020,6654,5072,119,9775,0,4
18/10/2023,17130,11051,384,20557,5272,77
15/09/2019,3921,5051,0,6608,0,14
15/02/2023,17335,11438,338,20661,5694,108
27/07/2023,16528,11498,309,19857,4836,116
03/12/2022,3769,5702,0,8372,0,49
15/01/2022,2138,2727,0,4133,0,16
29/07/2020,11780,6020,185,11809,5454,44
04/09/2019,18691,11263,464,24375,5600,1
25/10/2019,18034,12547,327,24658,5082,44
02/06/2023,15276,10321,282,17779,4674,78
09/02/2021,16667,9031,301,17252,6533,75
17/04/2023,11622,9407,329,16589,0,61
25/10/2022,15055,9619,248,17153,4420,82
04/07/2019,16604,10445,437,21868,3576,0
25/07/2021,1869,2673,0,4102,0,20
21/10/2023,4420,6739,0,8622,0,22
30/07/2020,11668,5992,134,11538,5341,70
19/01/2021,10546,5565,283,13358,0,49
07/06/2020,1349,2101,0,2884,0,1
31/03/2022,13451,8495,248,15075,4955,62
12/12/2022,10669,7677,230,13056,542,74
14/08/2023,15304,10222,378,19000,4492,81
08/03/2021,2252,3175,0,4576,0,24
29/09/2019,2781,5347,0,7669,0,3
12/02/2020,20332,12188,475,26961,7082,0
08/07/2019,13078,9442,422,18848,0,0
06/06/2020,1832,2808,0,3956,0,2
21/05/2020,6428,3096,79,6671,2663,0
10/08/2022,14125,9218,193,16583,4486,52
19/09/2022,13602,9159,223,15491,4288,111
28/11/2021,1820,2837,0,4416,0,20
16/01/2023,11079,7737,251,14190,0,48
03/02/2023,15774,10575,258,17906,5667,64
17/07/2019,13768,10689,428,20550,0,0
20/02/2022,2036,3038,0,4399,0,21
17/10/2020,2703,3865,0,5492,0,15
10/07/2019,13856,10066,421,19502,0,1
31/12/2019,5756,4911,30,7016,0,1
11/12/2020,12982,8995,195,14731,2279,58
22/04/2020,3015,1756,40,3826,0,0
26/06/2020,9324,6000,120,10843,4499,2
12/01/2021,6121,5468,127,7538,0,16
13/06/2020,1895,2954,0,4199,0,0
04/04/2021,1744,2986,0,3891,0,23
12/03/2022,3099,4842,0,6933,0,21
20/06/2022,11883,8121,231,13980,3991,47
15/07/2021,14865,8811,276,15373,5263,88
21/10/2022,13653,9277,190,15335,4210,127
24/06/2021,12056,7920,282,14017,3271,66
03/05/2021,16093,8837,314,16855,5557,54
30/05/2022,1652,2453,0,3643,0,13
03/03/2020,19623,12961,514,27706,2551,0
26/05/2023,15122,10315,255,17572,4608,70
18/12/2020,11979,8632,207,13934,619,57
30/11/2023,17909,10535,329,20032,5619,86
01/01/2021,1256,2434,0,2608,0,13
07/09/2022,14107,9135,266,15984,4338,69
20/04/2022,9682,7575,238,13207,0,48
08/08/2020,1762,2550,0,4264,0,17
28/11/2020,3122,4606,0,6059,0,16
03/08/2023,16472,11773,320,20434,4769,113
25/07/2022,12959,8398,208,14429,4763,51
22/09/2023,15586,11462,268,19346,3798,51
09/11/2020,13296,6869,242,13461,4768,52
12/09/2021,538,501,0,1059,0,8
16/06/2021,14752,8957,301,16002,4916,68
16/07/2022,2823,4503,0,6346,0,19
16/11/2023,16244,10551,322,19043,4824,79
17/01/2023,11574,8730,275,15009,0,59
23/10/2019,18895,12716,467,26133,5445,0
07/02/2020,19368,12300,382,24486,6794,0
30/07/2021,15531,9164,236,16405,5201,62
31/10/2019,19023,12231,424,24632,5652,0
13/03/2023,2663,4465,0,6395,0,8
29/07/2022,13216,8693,178,14737,4336,59
22/07/2021,15589,9013,292,16465,5461,114
29/06/2021,10292,7197,279,13043,0,37
21/05/2022,3102,4821,0,6478,0,19
06/10/2022,9972,8005,194,13508,0,62
18/05/2021,16492,9542,350,17753,5362,69
02/11/2023,16156,9339,278,18770,4909,73
02/07/2022,2463,4217,0,5900,0,26
18/04/2020,985,1364,0,1830,0,0
24/07/2021,2866,3814,0,5721,0,77
22/09/2022,2171,4388,0,5727,0,18
02/05/2023,16492,11321,419,20342,5357,78
31/07/2020,11670,6433,131,11738,4386,46
02/12/2019,15928,10800,441,22012,5002,0
26/02/2020,20972,13015,478,28359,6518,1
01/09/2022,14390,9107,221,16216,4235,38
02/08/2023,16567,11589,367,20965,4713,102
31/05/2021,2302,3116,0,4712,0,25
25/09/2022,2195,4683,0,6002,0,19
09/09/2022,11324,5298,182,14359,1154,56
29/06/2020,8594,5084,149,10213,3530,3
31/03/2023,15474,10997,264,19069,4840,61
28/09/2019,3638,7256,0,9799,0,4
28/03/2021,2286,3552,0,4928,0,31
28/06/2023,12261,9066,350,15805,2574,68
12/11/2019,18612,12023,481,24790,5741,10
